Dato;AG_testede;AG_pos;AGpos_minusPCRkonf;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2020-04-08;18;0;0;0;0;0;0
2021-01-03;1;0;0;0;0;0;1
2021-01-05;1;0;0;0;0;0;0
2021-01-08;2;0;0;0;0;0;0
2021-01-14;17;0;0;0;0;0;17
2021-01-15;14;0;0;0;0;0;14
2021-01-16;30;0;0;0;0;0;30
2021-01-17;17;0;0;0;0;1;16
2021-01-18;64;0;0;0;0;2;62
2021-01-25;5;0;0;0;0;0;0
2021-02-01;4759;8;4;2;2;2;293
2021-02-02;4584;8;3;5;0;5;308
2021-02-03;4803;9;4;5;0;6;343
2021-02-04;4448;4;2;2;0;5;322
2021-02-05;4311;7;2;4;1;6;280
2021-02-06;2570;8;2;6;0;3;262
2021-02-07;2989;11;4;7;0;6;326
2021-02-08;6869;11;5;6;0;5;439
2021-02-09;6003;6;2;4;0;5;390
2021-02-10;6982;13;8;4;1;1;498
2021-02-11;8904;11;5;5;1;3;533
2021-02-12;9071;9;5;3;1;4;475
2021-02-13;4800;13;6;6;1;6;339
2021-02-14;4756;13;4;7;2;9;435
2021-02-15;16930;48;24;17;7;25;1154
2021-02-16;16720;58;15;32;10;19;1338
2021-02-17;25853;84;32;43;9;20;2012
2021-02-18;29740;51;11;33;4;30;1800
2021-02-19;33867;85;31;42;12;37;1827
2021-02-20;21427;62;21;33;8;36;1621
2021-02-21;20046;93;27;59;4;41;1693
2021-02-22;25238;82;20;45;15;27;1896
2021-02-23;29086;100;30;58;10;34;2038
2021-02-24;29324;91;34;43;12;33;2104
2021-02-25;27926;83;30;44;9;20;1621
2021-02-26;35705;77;28;35;14;41;1823
2021-02-27;22254;70;21;43;6;17;1560
2021-02-28;24088;93;25;55;13;29;1973
2021-03-01;34778;73;17;37;17;17;2196
2021-03-02;37130;89;17;46;24;24;2048
2021-03-03;40631;96;30;35;31;40;3171
2021-03-04;53466;177;30;48;95;28;3475
2021-03-05;63313;167;34;44;88;55;4079
2021-03-06;38028;132;30;51;51;59;3045
2021-03-07;39872;204;37;58;105;61;3511
2021-03-08;63356;233;33;79;121;78;3897
2021-03-09;62091;190;21;62;106;63;3400
2021-03-10;57086;235;37;77;121;65;3823
2021-03-11;58389;170;22;51;97;43;3516
2021-03-12;59585;167;37;34;96;31;2960
2021-03-13;55421;151;32;56;60;64;3349
2021-03-14;72227;177;31;50;95;83;4144
2021-03-15;109594;262;36;107;114;105;5654
2021-03-16;115604;268;43;107;118;107;5311
2021-03-17;102471;196;41;83;66;105;5767
2021-03-18;123114;220;42;120;56;103;6202
2021-03-19;91021;148;23;77;45;71;4204
2021-03-20;56789;135;19;81;33;94;3628
2021-03-21;89121;207;33;120;53;126;5425
2021-03-22;132170;235;41;121;69;135;6673
2021-03-23;137212;200;26;113;59;134;6488
2021-03-24;119207;197;37;111;46;140;6382
2021-03-25;143437;234;56;124;51;143;7130
2021-03-26;129899;178;33;98;44;125;6139
2021-03-27;64994;160;24;103;32;91;4332
2021-03-28;62968;159;27;97;33;106;4677
2021-03-29;104094;255;29;153;72;149;6727
2021-03-30;112631;241;39;142;57;126;6301
2021-03-31;91906;146;17;89;39;65;4678
2021-04-01;100297;204;25;119;55;127;6172
2021-04-02;94301;200;28;109;58;84;6568
2021-04-03;81540;191;26;99;60;78;5866
2021-04-04;96490;167;18;93;53;107;6537
2021-04-05;190230;283;31;135;111;116;11794
2021-04-06;206442;281;32;143;100;123;11178
2021-04-07;183342;259;28;127;102;146;9828
2021-04-08;225632;260;37;145;73;155;11610
2021-04-09;181606;200;29;105;64;61;6398
2021-04-10;89756;149;45;63;40;25;1550
2021-04-11;157343;184;171;6;7;7;396
